TargetID,Redrock spectype,Redrock z,VI z,VI spectype,vi_combined_flag,vi_diff,VI issue
35185724533771722,GALAXY,1.694,--,--,0.0,0,S
35185724533771740,GALAXY,0.266,0.2656,GALAXY,4.0,0,--
35185724533771926,GALAXY,0.269,0.2690,GALAXY,3.0,0,--
35185724533772192,GALAXY,0.273,0.2727,GALAXY,4.0,0,--
35185724533772486,GALAXY,0.274,0.2745,GALAXY,4.0,0,--
35185724533772563,GALAXY,0.02,0.0200,GALAXY,4.0,0,--
35185724533772777,GALAXY,0.474,0.4741,GALAXY,4.0,0,--
35185724533772790,GALAXY,0.892,--,--,0.0,0,S
35185724537962764,GALAXY,0.433,0.4327,GALAXY,4.0,0,--
35185724537962916,GALAXY,0.328,0.3279,GALAXY,4.0,0,--
35185724537963346,GALAXY,0.285,0.2846,GALAXY,4.0,0,--
35185724537963738,GALAXY,0.435,0.4355,GALAXY,4.0,0,--
35185724537963899,GALAXY,0.071,0.0714,GALAXY,4.0,0,--
35185724537964107,GALAXY,0.362,0.3616,GALAXY,4.0,0,--
35185724537964207,GALAXY,0.13,0.1296,GALAXY,4.0,0,--
35185724537964224,GALAXY,0.269,0.2695,GALAXY,4.0,0,--
35185724537964747,GALAXY,0.206,0.2065,GALAXY,4.0,0,--
35185724537964854,GALAXY,0.151,0.1514,GALAXY,4.0,0,--
35185724537964947,GALAXY,0.268,0.2683,GALAXY,4.0,0,--
35185724537965028,GALAXY,0.265,0.2647,GALAXY,3.0,0,--
35185724537965289,GALAXY,0.266,0.2568,GALAXY,4.0,0,--
35185724537965312,GALAXY,0.488,0.4882,GALAXY,4.0,0,--
35185724537965326,GALAXY,0.147,0.1466,GALAXY,4.0,0,--
35185724537965510,GALAXY,0.421,0.4209,GALAXY,4.0,0,--
35185724537965773,GALAXY,0.131,0.1309,GALAXY,4.0,0,--
35185724537966139,GALAXY,0.512,0.5124,GALAXY,4.0,0,--
35185724537966375,GALAXY,0.329,0.3290,GALAXY,4.0,0,--
35185724537966489,GALAXY,0.22,0.2199,GALAXY,4.0,0,--
35185724537966519,GALAXY,1.108,--,--,0.0,0,S
35185724542156958,GALAXY,0.264,0.2638,GALAXY,4.0,0,--
35185724542157028,GALAXY,0.26,--,--,0.0,0,S
35185724542157047,GALAXY,0.24,0.2402,GALAXY,4.0,0,--
35185724542157359,GALAXY,0.25,0.2503,GALAXY,4.0,0,--
35185724542157525,GALAXY,0.267,0.2665,GALAXY,4.0,0,--
35185724542157599,GALAXY,0.264,0.2637,GALAXY,3.0,0,--
35185724542157787,GALAXY,0.099,0.0993,GALAXY,-1.0,0,--
35185724542157834,GALAXY,0.38,0.3799,GALAXY,4.0,0,--
35185724542157900,GALAXY,0.264,0.2636,GALAXY,4.0,0,--
35185724542157953,GALAXY,0.25,0.2501,GALAXY,3.0,0,--
35185724542158116,GALAXY,0.202,0.2025,GALAXY,4.0,0,--
35185724542158273,GALAXY,0.513,0.0,STAR,3.0,0,RC
35185724542158518,GALAXY,0.483,0.4831,GALAXY,4.0,0,--
35185724542158889,GALAXY,0.264,0.2644,GALAXY,3.0,0,--
35185724542158919,GALAXY,0.249,0.2490,GALAXY,2.0,0,--
35185724542159125,GALAXY,0.477,0.4769,GALAXY,4.0,0,--
35185724542159133,GALAXY,0.327,0.3267,GALAXY,3.0,0,--
35185724542159383,GALAXY,0.399,0.3986,GALAXY,4.0,0,--
35185724542159406,GALAXY,0.255,0.2547,GALAXY,4.0,0,--
35185724542159580,GALAXY,0.247,0.2473,GALAXY,4.0,0,--
35185724542159918,GALAXY,0.17800000000000002,0.1783,GALAXY,4.0,0,--
35185724542160043,GALAXY,0.503,--,--,0.0,0,S
35185724542160142,GALAXY,0.242,0.2418,GALAXY,4.0,0,--
35185724542160157,GALAXY,0.265,0.2654,GALAXY,4.0,0,--
35185724542160380,GALAXY,0.255,0.2546,GALAXY,4.0,0,--
35185724542160704,GALAXY,0.179,0.1791,GALAXY,4.0,0,--
35185724542160750,GALAXY,0.251,0.2513,GALAXY,4.0,0,--
35185724542160844,GALAXY,0.246,0.2459,GALAXY,4.0,0,--
35185724542160851,GALAXY,0.173,0.1729,GALAXY,4.0,0,--
35185724542160943,GALAXY,0.7340000000000001,--,--,0.0,0,S
35185724542160965,GALAXY,0.242,0.2425,GALAXY,4.0,0,--
35185724542161089,GALAXY,0.1,0.0997,GALAXY,4.0,0,--
35185724546351234,GALAXY,0.095,0.0954,GALAXY,4.0,0,--
35185724546351805,GALAXY,0.311,--,--,0.0,0,S
35185724546352016,GALAXY,0.147,0.1470,GALAXY,4.0,0,--
35185724546352036,GALAXY,0.021,0.0206,GALAXY,4.0,0,--
35185724546352129,QSO,2.001,--,--,0.0,0,S
35185724546352337,GALAXY,0.272,0.2716,GALAXY,4.0,0,--
35185724546352426,GALAXY,0.259,0.2593,GALAXY,4.0,0,--
35185724546352530,GALAXY,0.327,0.3269,GALAXY,4.0,0,--
35185724546353048,GALAXY,0.08199999999999999,0.0820,GALAXY,4.0,0,--
35185724546353053,GALAXY,0.326,0.3257,GALAXY,3.0,0,--
35185724546353070,GALAXY,0.515,0.5153,--,2.0,0,S
35185724546353382,GALAXY,0.362,0.3624,GALAXY,4.0,0,--
35185724546353507,GALAXY,1.599,--,--,0.0,0,S
35185724546353513,GALAXY,0.378,0.3768,GALAXY,4.0,0,--
35185724546353860,GALAXY,0.249,0.2494,GALAXY,4.0,0,--
35185724546354056,GALAXY,0.398,0.3975,GALAXY,4.0,0,--
35185724546354075,GALAXY,0.505,--,--,0.0,0,S
35185724546354565,GALAXY,0.26,0.2597,GALAXY,4.0,0,--
35185724546354617,GALAXY,0.378,0.3779,GALAXY,4.0,0,--
35185724546354762,GALAXY,0.266,0.2657,GALAXY,4.0,0,--
35185724546354878,GALAXY,1.4469999999999998,--,--,1.0,0,R
35185724546354880,GALAXY,0.316,0.3163,GALAXY,3.0,0,--
35185724546355328,QSO,0.326,0.3262,GALAXY,4.0,0,--
35185724546355346,GALAXY,0.496,--,--,0.0,0,S
35185724546355525,GALAXY,0.08199999999999999,0.0822,GALAXY,4.0,0,--
35185724546355537,GALAXY,0.379,0.3792,GALAXY,4.0,0,--
35185724546355582,GALAXY,0.266,0.2656,GALAXY,4.0,0,--
35185724550545636,GALAXY,0.221,0.2208,GALAXY,4.0,0,--
35185724550545868,GALAXY,0.564,0.5639,GALAXY,3.0,0,--
35185724550545946,GALAXY,0.179,0.1791,GALAXY,4.0,0,--
35185724550546087,GALAXY,0.174,0.1740,GALAXY,4.0,0,--
35185724550546595,GALAXY,0.514,0.5141,GALAXY,4.0,0,--
35185724550547306,GALAXY,0.223,0.2058,GALAXY,2.0,0,R
35185724550547440,GALAXY,0.38,0.3801,GALAXY,4.0,0,--
35185724550547586,GALAXY,0.097,0.0970,GALAXY,4.0,0,--
35185724550547641,GALAXY,0.335,0.3355,GALAXY,4.0,0,--
35185724550547766,GALAXY,0.249,0.2493,GALAXY,4.0,0,--
35185724550548084,GALAXY,0.084,0.0838,GALAXY,4.0,0,--
35185724550548779,GALAXY,0.221,0.2211,GALAXY,3.0,0,--
35185724550548906,GALAXY,0.316,0.3162,GALAXY,4.0,0,--
35185724550549029,GALAXY,0.316,0.3159,GALAXY,4.0,0,--
35185724550549172,GALAXY,0.174,0.1735,GALAXY,4.0,0,--
35185724550549201,GALAXY,0.035,0.0348,GALAXY,4.0,0,--
35185724550549244,GALAXY,0.502,0.5031,GALAXY,4.0,0,--
35185724550549512,GALAXY,0.317,0.3173,GALAXY,4.0,0,--
35185724550549601,GALAXY,0.175,0.1750,GALAXY,4.0,0,--
35185724550549879,GALAXY,0.545,0.5449,GALAXY,3.0,0,--
35185724554743257,GALAXY,0.275,0.2747,GALAXY,4.0,0,--
35185730569371767,GALAXY,0.253,0.2528,GALAXY,4.0,0,--
35185730569372003,GALAXY,0.364,0.3641,GALAXY,3.0,0,--
35185730569372345,GALAXY,0.892,--,--,0.0,0,S
35185730569372787,GALAXY,0.13,0.1298,GALAXY,4.0,0,--
35185730569372884,GALAXY,0.31,0.3101,GALAXY,4.0,0,--
35185730569373006,GALAXY,0.047,0.0474,GALAXY,4.0,0,--
35185730569373022,GALAXY,0.083,0.0829,GALAXY,4.0,0,--
35185730569373087,GALAXY,0.276,0.2758,GALAXY,4.0,0,--
35185730569373486,GALAXY,0.21600000000000005,0.2164,GALAXY,4.0,0,--
35185730569373925,GALAXY,0.114,0.1137,GALAXY,4.0,0,--
35185730569374457,GALAXY,0.215,0.2152,GALAXY,4.0,0,--
35185730569374838,GALAXY,0.267,0.2668,GALAXY,4.0,0,--
35185730569375063,GALAXY,0.382,0.3822,GALAXY,4.0,0,--
35185730569375440,GALAXY,0.114,0.1138,GALAXY,4.0,0,--
35185730569375542,GALAXY,0.132,0.1316,GALAXY,4.0,0,--
35185730569375590,GALAXY,0.341,0.3412,GALAXY,4.0,0,--
35185730569376163,GALAXY,0.077,0.0766,GALAXY,4.0,0,--
35185730569376453,GALAXY,0.474,0.4736,GALAXY,4.0,0,--
35185730569376602,GALAXY,0.324,0.3241,GALAXY,4.0,0,--
35185730573565988,GALAXY,0.327,0.3272,GALAXY,4.0,0,--
35185730573566042,GALAXY,0.324,0.3239,GALAXY,4.0,0,--
35185730573566172,GALAXY,0.16699999999999998,0.1669,GALAXY,4.0,0,--
35185730573566292,GALAXY,0.206,0.2063,GALAXY,4.0,0,--
35185730573566389,GALAXY,0.207,0.2071,GALAXY,4.0,0,--
35185730573566396,GALAXY,0.151,0.1511,GALAXY,4.0,0,--
35185730573566760,GALAXY,0.254,0.2545,GALAXY,4.0,0,--
35185730573566770,GALAXY,1.5,--,--,0.0,0,S
35185730573566893,GALAXY,0.115,0.1145,GALAXY,4.0,0,--
35185730573566955,GALAXY,0.207,0.2070,GALAXY,4.0,0,--
35185730573566983,GALAXY,0.142,0.1416,GALAXY,4.0,0,--
35185730573567258,GALAXY,0.474,0.4736,GALAXY,4.0,0,--
35185730573567405,GALAXY,0.326,0.3258,GALAXY,4.0,0,--
35185730573567650,GALAXY,0.207,0.2071,GALAXY,4.0,0,--
35185730573567689,GALAXY,0.096,0.0960,GALAXY,4.0,0,--
35185730573567976,GALAXY,0.275,0.2750,GALAXY,4.0,0,--
35185730573568076,GALAXY,0.13,0.1302,GALAXY,4.0,0,--
35185730573568150,GALAXY,0.329,0.3294,GALAXY,4.0,0,--
35185730573568587,GALAXY,0.119,0.1188,GALAXY,4.0,0,--
35185730573568793,GALAXY,0.115,0.1147,GALAXY,4.0,0,--
35185730573568937,GALAXY,0.382,0.3822,GALAXY,4.0,0,--
35185730573569126,GALAXY,0.398,0.3984,GALAXY,4.0,0,--
35185730573569240,GALAXY,0.349,0.3493,GALAXY,4.0,0,--
35185730573569508,GALAXY,0.108,0.1083,GALAXY,4.0,0,--
35185730573569569,GALAXY,0.3720000000000001,0.3716,GALAXY,4.0,0,--
35185730573569617,GALAXY,0.113,0.1134,GALAXY,4.0,0,--
35185730573570209,GALAXY,0.12,0.1201,GALAXY,4.0,0,--
35185730573570293,GALAXY,0.474,0.4741,GALAXY,4.0,0,--
35185730573570627,GALAXY,0.119,0.1192,GALAXY,4.0,0,--
